% structure for data mining single hand sign language gestures
@relation SingleHandGestures
@attribute 'NoHands' numeric
@attribute 'thumb_angle' numeric
@attribute 'index_angle' numeric
@attribute 'middle_angle' numeric
@attribute 'ring_angle' numeric
@attribute 'pinky_angle' numeric
@attribute 'Dist_thumb_index' numeric
@attribute 'Dist_thumb_middle' numeric
@attribute 'Dist_thumb_ring' numeric
@attribute 'Dist_thumb_pinky' numeric
@attribute 'Dist_index_middle' numeric
@attribute 'Dist_index_ring' numeric
@attribute 'Dist_index_pinky' numeric
@attribute 'Dist_middle_ring' numeric
@attribute 'Dist_middle_pinky' numeric
@attribute 'Dist_ring_pinky' numeric
@attribute 'class' {c,g,bad,ok}
@data
1, 0.1059156, 0.6308243, 0.8328251, 0.8315133, 0.8311909,16.492,62.20012,73.92654,81.9352,57.17619,67.58328,74.44724,14.43964,28.91787,15.65262,?
1, 0.1071061, 0.6327755, 0.8316557, 0.8308247, 0.8323517,18.38172,62.89014,74.58591,82.58698,54.24306,64.76466,71.99724,14.38445,28.89243,15.69341,?
1, 0.1094509, 0.6270294, 0.8286214, 0.8292711, 0.828894,22.7366,63.20387,75.19692,83.39841,48.24879,59.25645,67.18361,14.47596,28.87064,15.58698,?
1, 0.1414641, 0.7696744, 0.7636836, 0.769079, 0.7577328,23.99328,42.26168,53.28172,57.29646,55.99528,68.89999,74.43312,17.49995,31.05149,15.50715,?
1, 0.1785294, 0.6260738, 0.7613244, 0.7710136, 0.7596951,14.46434,43.23529,55.7929,60.98578,49.2595,64.395,71.92191,17.70736,31.16612,15.42727,?
1, 0.1294628, 0.003308952, 0.7700406, 0.7904482, 0.7787336,59.5545,47.85731,60.00982,64.87473,105.155,116.1989,119.025,17.61415,31.02808,15.3008,?
1, 0.1123016, 0.009788334, 0.7725959, 0.7927336, 0.7825857,56.47184,49.65759,61.88791,67.26585,104.444,115.2081,118.1238,17.26374,30.85776,15.35569,?
1, 0.1229595, 0.009688497, 0.7727321, 0.7922267, 0.7811155,58.97224,48.23923,60.55846,65.5509,105.124,116.1802,118.9855,17.64232,31.072,15.32661,?
1, 0.1219398, 0.009975851, 0.7716324, 0.7920991, 0.7808999,60.71367,48.37634,60.42421,65.2053,106.5045,117.3281,120.0276,17.58107,31.00781,15.30779,?
1, 0.1298311, 0.01024735, 0.7692693, 0.7882835, 0.7763888,64.52041,45.54871,59.05595,63.58086,106.7342,118.8895,121.5123,19.0255,31.96869,15.29358,?
1, 0.1408358, 0.0002570152, 0.77404, 0.7937561, 0.7839798,58.26009,44.853,59.66399,64.93869,101.4746,114.905,118.0501,19.62875,32.52667,15.38593,?
1, 0.1389304, 0.239787, 0.7640142, 0.788312, 0.7798405,20.69767,46.15387,61.04357,67.22528,65.36858,81.12047,87.3023,19.09241,32.31166,15.44012,?
1, 0.1383023, 0.3710132, 0.7663748, 0.7874433, 0.7773873,22.64102,45.60828,60.4556,66.02571,67.00977,82.86129,88.63428,19.36206,32.3209,15.33307,?
1, 0.1406704, 0.3618315, 0.7869635, 0.7909024, 0.7804663,22.28284,46.5182,60.69916,66.12906,67.38188,82.61295,88.40956,18.45114,31.47178,15.27685,?
1, 0.03372371, 0.04692519, 0.8154291, 0.7803483, 0.7696698,59.1997,64.32625,75.87446,79.48635,113.0759,121.1777,119.581,17.66488,30.84789,15.23527,?
1, 0.01052237, 0.03681624, 0.7882321, 0.7715461, 0.7664893,70.90014,70.2428,85.68748,92.87163,113.9376,120.8912,119.0794,18.2627,31.63831,15.09333,?
1, 0.01085353, 0.02278149, 0.794037, 0.7791569, 0.7725881,71.64906,70.50529,86.02079,93.5978,114.8454,122.0274,120.6751,18.21405,31.6991,15.09933,?
1, 0.01548886, 0.02383053, 0.7886615, 0.7713625, 0.7678491,68.70222,67.5276,83.60789,90.95849,113.2839,121.3649,120.2152,18.82715,32.19148,15.16067,?
1, 0.01695246, 0.02834159, 0.7909665, 0.7813498, 0.7767772,68.1341,68.664,83.85657,90.9174,114.6428,121.9671,120.7159,18.44334,31.99556,15.1833,?
1, 0.01423538, 0.04112494, 0.7993085, 0.7642621, 0.7658857,67.28535,66.82757,81.36942,87.30974,112.5401,119.8331,117.2007,18.02797,31.30748,15.4247,?
1, 0.0179882, 0.06840014, 0.7923865, 0.7840651, 0.7776891,62.53669,67.79161,83.12548,90.04708,110.8509,118.8928,118.1367,18.64992,32.10116,15.12934,?
1, 0.009105921, 0.03902775, 0.8013287, 0.769335, 0.7693317,69.128,68.89843,83.91841,90.68514,112.879,120.0294,117.8001,18.01549,31.41675,15.34541,?
1, 0.02164102, 0.02250266, 0.8360538, 0.7916743, 0.7930387,76.83398,64.87956,81.42031,92.83827,114.1311,124.3963,125.9452,17.30367,32.62202,17.2527,?
1, 0.09419715, 0.6728954, 0.8193266, 0.8236227, 0.8150256,34.47625,64.89993,77.58149,86.86271,33.61678,45.27006,54.73084,14.44549,28.65169,15.30769,?
1, 0.1240137, 0.761099, 0.8113303, 0.8112145, 0.8068451,33.79842,58.74871,71.21833,78.21574,25.16903,38.43998,48.05156,15.09758,28.75289,15.27587,?
1, 0.1120889, 0.2687617, 0.791351, 0.7936269, 0.7822484,17.81145,55.89637,66.81419,72.14024,71.75186,83.08958,88.52493,15.10228,28.61243,14.98914,?
1, 0.1221973, 0.005966067, 0.8067526, 0.8142444, 0.8074121,57.29943,50.80352,64.08192,71.23254,104.5398,114.8277,117.7123,16.74432,30.68034,15.52442,?
1, 0.09269559, 0.08608198, 0.819965, 0.8200856, 0.8142814,39.4667,54.62425,64.83325,69.7718,94.00561,103.9149,107.3657,15.19751,29.2671,15.50974,?
1, 0.1444142, 0.7860028, 0.7942022, 0.7956695, 0.77931,36.90151,49.2309,61.25414,67.64194,19.90719,35.60644,48.22112,15.95821,29.59923,15.10297,?
1, 0.1665776, 0.7653126, 0.7991467, 0.7979923, 0.7800141,41.4029,53.87333,65.84366,73.0397,14.79556,29.43711,41.73816,14.94735,28.55585,14.94263,?
